,open,high,low,close,tick_volume,real_volume
2022-11-17,"38,0","39,44","37,22","39,23",27598,8238900
2022-11-18,"39,24","39,96","38,79","38,97",20554,6670400
2022-11-21,"39,08","39,52","38,55","39,17",21161,4928900
2022-11-22,"39,33","39,68","37,98","38,59",25952,7992000
2022-11-23,"38,47","38,95","38,09","38,63",18079,5489100
2022-11-24,"38,89","40,25","38,75","39,44",16373,5489500
2022-11-25,"39,46","39,47","38,29","38,79",15700,4690200
2022-11-28,"38,51","38,51","36,97","37,2",20887,7981800
2022-11-29,"37,12","38,19","36,14","37,41",24254,9077200
2022-11-30,"37,41","38,93","37,23","38,69",23951,12458900
2022-12-01,"38,5","39,04","37,71","38,0",27045,6962500
2022-12-02,"38,07","39,07","37,56","38,35",27067,6555700
2022-12-05,"37,71","37,98","36,94","37,3",19845,6914000
2022-12-06,"37,7","37,79","36,63","37,41",18331,5641000
2022-12-07,"37,41","37,7","36,56","36,96",14772,4978700
2022-12-08,"36,72","37,38","36,41","36,9",16237,5710700
2022-12-09,"36,92","37,31","36,65","36,8",14798,4345000
2022-12-12,"36,65","36,74","35,37","35,78",30661,10669500
2022-12-13,"35,78","36,93","35,17","35,5",29729,10196600
2022-12-14,"35,51","37,16","35,38","36,76",40468,14185900
2022-12-15,"36,21","37,38","36,07","36,78",27666,8144300
2022-12-16,"36,69","37,25","36,47","37,15",28124,12114400
2022-12-19,"37,43","38,17","37,39","37,86",25857,6603400
2022-12-20,"37,85","38,87","37,85","38,17",26738,7623900
2022-12-21,"38,32","38,58","37,69","38,14",23615,6900900
2022-12-22,"38,19","38,83","38,19","38,68",17159,5599500
2022-12-23,"38,89","39,11","37,81","38,24",18534,9476400
2022-12-26,"38,07","38,48","37,65","37,93",8268,2339100
2022-12-27,"38,24","38,26","37,52","37,75",13045,4735700
2022-12-28,"37,96","39,06","37,93","38,44",21025,5410500
2022-12-29,"38,58","38,73","37,99","38,25",14137,6444500
2023-01-02,"38,24","38,24","37,48","37,84",13701,3017700
2023-01-03,"37,85","38,11","36,64","36,9",21339,5662900
2023-01-04,"37,08","37,43","36,41","37,15",26925,6169800
2023-01-05,"37,33","37,64","37,01","37,23",21046,6660600
2023-01-06,"37,24","38,01","37,05","37,77",17806,4071700
2023-01-09,"37,74","38,04","36,97","37,66",21585,5730600
2023-01-10,"37,27","37,65","36,83","37,29",18241,6556000
2023-01-11,"37,24","38,44","36,95","38,34",18890,5982900
2023-01-12,"38,28","38,73","37,93","38,25",19723,5376000
2023-01-13,"37,93","39,09","37,66","38,71",14467,4957200
2023-01-16,"38,83","38,83","37,02","37,43",24160,7545600
2023-01-17,"37,69","38,31","37,48","38,05",17077,4932900
2023-01-18,"38,33","38,53","37,54","37,73",24577,5833500
2023-01-19,"37,46","37,95","37,3","37,65",17677,5522400
2023-01-20,"37,63","37,65","36,96","37,08",19509,6942500
2023-01-23,"37,07","37,85","36,91","37,12",14370,4331400
2023-01-24,"37,48","37,48","36,52","36,96",21160,7500200
2023-01-25,"36,9","39,06","36,86","38,46",48928,12935100
2023-01-26,"38,51","38,7","36,71","37,95",32934,11767800
2023-01-27,"37,85","38,31","36,92","37,65",32864,14610700
2023-01-30,"37,74","37,77","36,84","37,1",25489,8055300
2023-01-31,"37,03","38,48","36,97","37,98",37370,9636200
2023-02-01,"37,93","38,49","37,46","38,13",27431,6318500
2023-02-02,"37,87","38,72","37,45","37,78",21408,7112600
2023-02-03,"37,58","38,34","37,45","37,65",33403,8093400
2023-02-06,"37,58","37,77","36,97","37,31",21485,6881500
2023-02-07,"37,25","37,63","36,98","37,41",21718,8673800
2023-02-08,"37,39","38,06","37,08","37,4",18055,4938900
2023-02-09,"37,48","38,25","37,34","37,72",16465,6409800
2023-02-10,"37,63","38,5","37,25","38,34",16802,7127800
2023-02-13,"38,26","38,91","38,1","38,32",16936,5129800
2023-02-14,"38,37","39,08","37,91","38,1",22676,6066600
2023-02-15,"38,62","39,07","38,24","38,62",36795,10995900
2023-02-16,"38,46","38,7","37,54","38,52",24545,7342600
2023-02-17,"38,29","39,48","38,16","39,35",26213,7934000
2023-02-22,"39,46","39,63","38,32","38,36",28705,8043500
2023-02-23,"38,45","39,5","38,21","39,2",26705,9948300
2023-02-24,"39,01","39,24","38,31","38,82",19117,5112700
2023-02-27,"38,88","39,32","38,43","38,76",16426,4714600
2023-02-28,"38,75","39,3","38,73","39,12",18602,7461500
2023-03-01,"39,12","39,84","38,65","39,34",29840,7934900
2023-03-02,"39,33","39,72","38,95","39,12",16784,4163300
2023-03-03,"39,32","39,68","38,68","38,8",20046,5339900
2023-03-06,"38,95","39,55","38,66","39,39",16867,5594500
2023-03-07,"39,26","39,73","39,1","39,55",14935,4956200
2023-03-08,"39,56","40,28","39,38","40,12",18834,7378100
2023-03-09,"39,96","40,26","39,82","39,82",15707,5384100
2023-03-10,"39,78","39,95","39,28","39,5",14458,4632900
2023-03-13,"39,17","40,25","39,02","39,75",22438,7419100
2023-03-14,"39,66","40,31","39,66","40,22",15980,4689500
2023-03-15,"40,01","40,43","39,61","40,03",21554,6225000
2023-03-16,"40,07","40,35","39,79","40,26",15239,6576900
2023-03-17,"40,07","40,19","39,68","39,83",15460,9659800
2023-03-20,"40,1","40,34","39,58","39,7",17727,5792500
2023-03-21,"39,84","40,28","39,8","39,96",16645,5229800
2023-03-22,"39,97","40,25","39,38","39,52",14517,4893500
2023-03-23,"39,6","40,36","39,53","39,89",21060,6448400
2023-03-24,"40,0","40,61","39,81","40,51",18709,6685900
2023-03-27,"40,78","41,31","40,55","41,19",15951,7299100
2023-03-28,"41,17","41,87","41,13","41,37",25236,6843600
2023-03-29,"41,48","42,15","41,27","41,73",15920,7426600
2023-03-30,"41,79","42,03","41,06","41,86",18292,5127700
2023-03-31,"41,92","42,37","40,45","40,55",32369,10897600
2023-04-03,"40,79","40,79","39,3","39,59",25101,8926000
2023-04-04,"39,86","39,94","39,25","39,63",19992,6432500
2023-04-05,"39,71","39,93","38,46","38,75",20514,7116100
2023-04-06,"38,74","39,18","38,54","38,61",15230,3982200
2023-04-10,"38,51","38,76","38,17","38,33",8758,4469500
2023-04-11,"38,65","39,33","38,64","39,04",6551,3798200
